regime,threshold,accuracy,avg_cost,revise_rate,n
gsm8k_random_100,0.0,0.9,1.0,0.0,100
gsm8k_random_100,0.05,0.9,1.0,0.0,100
gsm8k_random_100,0.1,0.9,1.0,0.0,100
gsm8k_random_100,0.15,0.9,1.0,0.0,100
gsm8k_random_100,0.2,0.9,1.0,0.0,100
gsm8k_random_100,0.25,0.9,1.0,0.0,100
gsm8k_random_100,0.3,0.91,1.02,0.02,100
gsm8k_random_100,0.35,0.91,1.03,0.03,100
gsm8k_random_100,0.4,0.91,1.05,0.05,100
gsm8k_random_100,0.45,0.91,1.05,0.05,100
gsm8k_random_100,0.5,0.91,1.05,0.05,100
gsm8k_random_100,0.55,0.91,1.05,0.05,100
gsm8k_random_100,0.6,0.91,1.07,0.07,100
gsm8k_random_100,0.65,0.92,1.11,0.11,100
gsm8k_random_100,0.7,0.92,1.31,0.31,100
gsm8k_random_100,0.75,0.92,1.99,0.99,100
gsm8k_random_100,0.8,0.92,1.99,0.99,100
gsm8k_random_100,0.85,0.92,1.99,0.99,100
gsm8k_random_100,0.9,0.92,2.0,1.0,100
gsm8k_random_100,0.95,0.92,2.0,1.0,100
gsm8k_random_100,1.0,0.92,2.0,1.0,100
hard_gsm8k_100,0.0,0.79,1.0,0.0,100
hard_gsm8k_100,0.05,0.79,1.0,0.0,100
hard_gsm8k_100,0.1,0.79,1.0,0.0,100
hard_gsm8k_100,0.15,0.79,1.0,0.0,100
hard_gsm8k_100,0.2,0.79,1.0,0.0,100
hard_gsm8k_100,0.25,0.79,1.0,0.0,100
hard_gsm8k_100,0.3,0.88,1.1,0.1,100
hard_gsm8k_100,0.35,0.88,1.1,0.1,100
hard_gsm8k_100,0.4,0.89,1.13,0.13,100
hard_gsm8k_100,0.45,0.89,1.13,0.13,100
hard_gsm8k_100,0.5,0.89,1.13,0.13,100
hard_gsm8k_100,0.55,0.89,1.1400000000000001,0.14,100
hard_gsm8k_100,0.6,0.89,1.1400000000000001,0.14,100
hard_gsm8k_100,0.65,0.88,1.26,0.26,100
hard_gsm8k_100,0.7,0.89,1.71,0.71,100
hard_gsm8k_100,0.75,0.86,2.0,1.0,100
hard_gsm8k_100,0.8,0.86,2.0,1.0,100
hard_gsm8k_100,0.85,0.86,2.0,1.0,100
hard_gsm8k_100,0.9,0.86,2.0,1.0,100
hard_gsm8k_100,0.95,0.86,2.0,1.0,100
hard_gsm8k_100,1.0,0.86,2.0,1.0,100
hard_gsm8k_b2,0.0,0.83,1.0,0.0,100
hard_gsm8k_b2,0.05,0.83,1.0,0.0,100
hard_gsm8k_b2,0.1,0.83,1.0,0.0,100
hard_gsm8k_b2,0.15,0.83,1.0,0.0,100
hard_gsm8k_b2,0.2,0.83,1.0,0.0,100
hard_gsm8k_b2,0.25,0.83,1.0,0.0,100
hard_gsm8k_b2,0.3,0.88,1.08,0.08,100
hard_gsm8k_b2,0.35,0.88,1.08,0.08,100
hard_gsm8k_b2,0.4,0.89,1.09,0.09,100
hard_gsm8k_b2,0.45,0.89,1.1,0.1,100
hard_gsm8k_b2,0.5,0.89,1.1,0.1,100
hard_gsm8k_b2,0.55,0.89,1.1,0.1,100
hard_gsm8k_b2,0.6,0.89,1.1,0.1,100
hard_gsm8k_b2,0.65,0.89,1.16,0.16,100
hard_gsm8k_b2,0.7,0.91,1.52,0.52,100
hard_gsm8k_b2,0.75,0.91,2.0,1.0,100
hard_gsm8k_b2,0.8,0.91,2.0,1.0,100
hard_gsm8k_b2,0.85,0.91,2.0,1.0,100
hard_gsm8k_b2,0.9,0.91,2.0,1.0,100
hard_gsm8k_b2,0.95,0.91,2.0,1.0,100
hard_gsm8k_b2,1.0,0.91,2.0,1.0,100
math500_100,0.0,0.64,1.0,0.0,100
math500_100,0.05,0.64,1.0,0.0,100
math500_100,0.1,0.64,1.0,0.0,100
math500_100,0.15,0.64,1.0,0.0,100
math500_100,0.2,0.65,1.03,0.03,100
math500_100,0.25,0.66,1.06,0.06,100
math500_100,0.3,0.67,1.27,0.27,100
math500_100,0.35,0.67,1.32,0.32,100
math500_100,0.4,0.66,1.41,0.41,100
math500_100,0.45,0.66,1.47,0.47,100
math500_100,0.5,0.65,1.48,0.48,100
math500_100,0.55,0.64,1.5,0.5,100
math500_100,0.6,0.64,1.5699999999999998,0.57,100
math500_100,0.65,0.64,1.8,0.8,100
math500_100,0.7,0.64,1.92,0.92,100
math500_100,0.75,0.64,1.97,0.97,100
math500_100,0.8,0.64,1.97,0.97,100
math500_100,0.85,0.64,1.98,0.98,100
math500_100,0.9,0.64,2.0,1.0,100
math500_100,0.95,0.64,2.0,1.0,100
math500_100,1.0,0.64,2.0,1.0,100
aime2024,0.0,0.13333333333333333,1.0,0.0,30
aime2024,0.05,0.13333333333333333,1.0,0.0,30
aime2024,0.1,0.13333333333333333,1.0,0.0,30
aime2024,0.15,0.13333333333333333,1.0,0.0,30
aime2024,0.2,0.13333333333333333,1.0,0.0,30
aime2024,0.25,0.13333333333333333,1.0333333333333334,0.03333333333333333,30
aime2024,0.3,0.13333333333333333,1.3666666666666667,0.36666666666666664,30
aime2024,0.35,0.13333333333333333,1.3666666666666667,0.36666666666666664,30
aime2024,0.4,0.13333333333333333,1.4,0.4,30
aime2024,0.45,0.13333333333333333,1.4333333333333333,0.43333333333333335,30
aime2024,0.5,0.13333333333333333,1.4333333333333333,0.43333333333333335,30
aime2024,0.55,0.13333333333333333,1.4666666666666668,0.4666666666666667,30
aime2024,0.6,0.13333333333333333,1.5666666666666667,0.5666666666666667,30
aime2024,0.65,0.06666666666666667,1.8,0.8,30
aime2024,0.7,0.06666666666666667,2.0,1.0,30
aime2024,0.75,0.06666666666666667,2.0,1.0,30
aime2024,0.8,0.06666666666666667,2.0,1.0,30
aime2024,0.85,0.06666666666666667,2.0,1.0,30
aime2024,0.9,0.06666666666666667,2.0,1.0,30
aime2024,0.95,0.06666666666666667,2.0,1.0,30
aime2024,1.0,0.06666666666666667,2.0,1.0,30
