feature,side,overall_mean,mean_revise_helpful,mean_safe_cheap,mean_both_wrong,mean_unnecessary_revise_candidate,effect_size_proxy
prompt_number_count,question,5.3675,7.4138,4.807,7.5091,4.9667,2.7021
prompt_token_length,question,54.015,66.7586,52.8703,53.8727,64.2556,13.8884
multi_stepness_proxy,question,0.3025,0.3448,0.3165,0.2,0.4111,0.2111
explicit_constraint_presence,question,0.415,0.5862,0.4146,0.3273,0.5556,0.2589
relational_wording_presence,question,0.2475,0.3103,0.2532,0.1818,0.4111,0.2293
special_structure_presence,question,0.685,0.7586,0.7057,0.5273,0.8556,0.3283
final_answer_parseable,output,0.9975,1.0,1.0,0.9818,1.0,0.0182
body_final_numeric_mismatch,output,0.14,0.1034,0.1456,0.1273,0.5111,0.4077
target_quantity_mismatch,output,0.07,0.1379,0.0728,0.0182,0.2556,0.2374
constraint_violation_signal,output,0.1275,0.1724,0.1139,0.1818,0.4,0.2861
copied_question_number_as_final_answer,output,0.395,0.2759,0.3924,0.4727,0.3444,0.1969
cheap_route_confidence,output,0.735,0.2414,0.8354,0.4182,0.7111,0.5941
explanation_warning_signal,output,0.025,0.1034,0.0158,0.0364,0.0333,0.0876
answer_error_signal,output,0.2975,0.8276,0.2025,0.5636,0.5444,0.6251
