dataset,target_avg_cost,avg_cost,revise_rate,accuracy
hard_gsm8k_100,1.0,1.0,0.0,0.79
hard_gsm8k_100,1.1,1.1,0.1,0.89
hard_gsm8k_100,1.2,1.2,0.2,0.91
hard_gsm8k_100,1.3,1.3,0.3,0.91
hard_gsm8k_100,1.5,1.5,0.5,0.91
hard_gsm8k_100,2.0,2.0,1.0,0.86
hard_gsm8k_b2,1.0,1.0,0.0,0.83
hard_gsm8k_b2,1.1,1.1,0.1,0.92
hard_gsm8k_b2,1.2,1.2,0.2,0.92
hard_gsm8k_b2,1.3,1.3,0.3,0.92
hard_gsm8k_b2,1.5,1.5,0.5,0.92
hard_gsm8k_b2,2.0,2.0,1.0,0.91
math500_100,1.0,1.0,0.0,0.64
math500_100,1.1,1.1,0.1,0.7
math500_100,1.2,1.2,0.2,0.7
math500_100,1.3,1.3,0.3,0.7
math500_100,1.5,1.5,0.5,0.7
math500_100,2.0,2.0,1.0,0.64
gsm8k_random_100,1.0,1.0,0.0,0.9
gsm8k_random_100,1.1,1.1,0.1,0.92
gsm8k_random_100,1.2,1.2,0.2,0.92
gsm8k_random_100,1.3,1.3,0.3,0.92
gsm8k_random_100,1.5,1.5,0.5,0.92
gsm8k_random_100,2.0,2.0,1.0,0.92
