regime,policy,accuracy,average_cost,revise_rate,false_positive_count,false_negative_count,gain_vs_reasoning_greedy,oracle_gap,n
gsm8k_random_100,answer_error_dominant_router,0.92,1.18,0.18,14,0,0.020000000000000018,0.0,100
gsm8k_random_100,answer_error_only_router,0.92,1.18,0.18,14,0,0.020000000000000018,0.0,100
gsm8k_random_100,combined_equal_router,0.91,1.06,0.06,4,1,0.010000000000000009,0.010000000000000009,100
gsm8k_random_100,direct_plus_revise,0.92,2.0,1.0,90,0,0.020000000000000018,0.0,100
gsm8k_random_100,explanation_dominant_router,0.9,1.04,0.04,4,2,0.0,0.020000000000000018,100
gsm8k_random_100,explanation_only_router,0.9,1.0,0.0,0,2,0.0,0.020000000000000018,100
gsm8k_random_100,reasoning_greedy,0.9,1.0,0.0,0,2,0.0,0.020000000000000018,100
hard_gsm8k_100,answer_error_dominant_router,0.81,1.27,0.27,19,8,0.020000000000000018,0.09999999999999998,100
hard_gsm8k_100,answer_error_only_router,0.81,1.26,0.26,18,8,0.020000000000000018,0.09999999999999998,100
hard_gsm8k_100,combined_equal_router,0.8,1.1400000000000001,0.14,9,9,0.010000000000000009,0.10999999999999999,100
hard_gsm8k_100,direct_plus_revise,0.86,2.0,1.0,79,0,0.06999999999999995,0.050000000000000044,100
hard_gsm8k_100,explanation_dominant_router,0.78,1.11,0.11,9,11,-0.010000000000000009,0.13,100
hard_gsm8k_100,explanation_only_router,0.79,1.02,0.02,2,12,0.0,0.12,100
hard_gsm8k_100,reasoning_greedy,0.79,1.0,0.0,0,12,0.0,0.12,100
hard_gsm8k_b2,answer_error_dominant_router,0.89,1.27,0.27,17,3,0.06000000000000005,0.030000000000000027,100
hard_gsm8k_b2,answer_error_only_router,0.89,1.27,0.27,17,3,0.06000000000000005,0.030000000000000027,100
hard_gsm8k_b2,combined_equal_router,0.87,1.08,0.08,2,5,0.040000000000000036,0.050000000000000044,100
hard_gsm8k_b2,direct_plus_revise,0.91,2.0,1.0,83,0,0.08000000000000007,0.010000000000000009,100
hard_gsm8k_b2,explanation_dominant_router,0.84,1.04,0.04,3,8,0.010000000000000009,0.08000000000000007,100
hard_gsm8k_b2,explanation_only_router,0.83,1.0,0.0,0,9,0.0,0.09000000000000008,100
hard_gsm8k_b2,reasoning_greedy,0.83,1.0,0.0,0,9,0.0,0.09000000000000008,100
math500_100,answer_error_dominant_router,0.66,1.05,0.05,0,4,0.020000000000000018,0.039999999999999925,100
math500_100,answer_error_only_router,0.64,1.01,0.01,0,6,0.0,0.05999999999999994,100
math500_100,combined_equal_router,0.66,1.05,0.05,0,4,0.020000000000000018,0.039999999999999925,100
math500_100,direct_plus_revise,0.64,2.0,1.0,64,0,0.0,0.05999999999999994,100
math500_100,explanation_dominant_router,0.66,1.05,0.05,1,4,0.020000000000000018,0.039999999999999925,100
math500_100,explanation_only_router,0.65,1.03,0.03,0,5,0.010000000000000009,0.04999999999999993,100
math500_100,reasoning_greedy,0.64,1.0,0.0,0,6,0.0,0.05999999999999994,100
